recipe,example_outputs
armorrepair/leather.json,"armor-head-sewn-leather; armor-body-sewn-leather; armor-legs-sewn-leather"
armorrepair/plate.json,"armor-head-plate-{metal}; armor-body-plate-{metal}; armor-legs-plate-{metal}"
armorrepair/scale.json,"armor-head-scale-{metal}; armor-body-scale-{metal}; armor-legs-scale-{metal}"
armorrepair/tailoredgambeson.json,"armor-head-tailored-{color}-linen; armor-body-tailored-{color}-linen; armor-legs-tailored-{color}-linen"
armorstand.json,"armorstand"
backpack.json,"backpack-normal; backpack-sturdy"
bambooshoot.json,"vegetable-bambooshoot; vegetable-bambooshoot"
bandage.json,"bandage-alcoholed; bandage-alcoholed; bandage-alcoholed; bandage-clean; bandage-clean; ..."
barrel.json,"barrel"
basket-deconstruct.json,"cattailtops; papyrustops"
basket.json,"basket-normal-reed; basket-normal-papyrus"
baskettrap.json,"baskettrap-reed; baskettrap-papyrus"
beams.json,"supportbeam-{wood}"
bed.json,"bed-wood-head-north; bed-hay-head-north; drygrass"
beenade.json,"beenade-opened; beenade-opened"
blastingpowder.json,"blastingpowder"
bloomerybase.json,"bloomerybase-north"
bloomerychimney.json,"bloomerychimney"
boat-seat.json,"boatseat-{wood}"
bomb.json,"bomb-ore; bomb-stone; bomb-scrap; bomb-scrap; bomb-scrap"
books.json,"book-normal-brickred; book-normal-cherryred; book-normal-darkbeige; book-normal-darkgray; book-normal-darkgreen; ..."
bookshelf.json,"bookshelf; bookshelf; bookshelf; bookshelf"
butterflynet.json,"bugnet-copper"
cassava.json,"vegetable-cassava"
chair.json,"chair-{color}"
chest-labeled.json,"labeledchest-east"
chest.json,"chest-east"
chimney.json,"claybrickchimney-four-{type}-ns"
chiseledblockcombine.json,"chiseledblock"
churn.json,"churn-south-opened"
chute.json,"chute-elbow-down-east; chute-straight-ns; chute-cross-ground; chute-t-ns; chute-3way-down-east"
clay.json,"clay-fire; clay-fire; clay-fire"
claybrickblock.json,"claybricks-good-fire; brickcourse-four-running-{type}; brickcourse-four-soldier-{type}; brickcourse-four-soldier-{type}; brickcourse-four-header-{type}; ..."
clayshinglesblock.json,"clayshingleblock-{type}"
cloth.json,"cloth-plain"
clothes/black.json,"clothes-lowerbody-reindeer-herder-trousers; clothes-lowerbody-fine-trousers; hoovedwearables-blanket-commoner"
clothes/blue.json,"clothes-head-peasent-head-scarf; clothes-lowerbody-tattered-peasent-gown; clothes-shoulder-artisans-scarf; clothes-upperbody-minstrel-shirt; clothes-upperbody-minstrel-shirt; ..."
clothes/brown.json,"clothes-lowerbody-workmans-gown; clothes-foot-peasent-slippers; clothes-upperbody-earth-toned-robe; clothes-upperbodyover-warm-robe; clothes-upperbodyover-warm-robe; ..."
clothes/green.json,"clothes-foot-minstrel-boots; clothes-foot-nomad-boots; clothes-lowerbody-nomad-trousers; clothes-upperbodyover-nomad-mantle; clothes-upperbodyover-spice-merchants-coat; ..."
clothes/hat.json,"clothes-head-bamboo-conehat; clothes-head-bamboo-conehat-large; clothes-head-straw-hat; clothes-head-tophat"
clothes/hide.json,"clothes-upperbody-raw-hide-mantle; clothes-upperbody-raw-hide-mantle; clothes-upperbody-raw-hide-mantle; clothes-upperbody-raw-hide-mantle; clothes-upperbody-raw-hide-mantle; ..."
clothes/leather.json,"clothes-shoulder-blacksmith-apron; clothes-foot-worn-leather-boots; clothes-foot-high-leather-boots; clothes-arm-leather-bracers; clothes-hand-heavy-leather-gloves; ..."
clothes/necklace.json,"clothes-neck-walnut-amulet; clothes-neck-redwood-amulet; clothes-neck-pinecone-amulet; clothes-neck-pinecone-amulet; clothes-neck-larch-seed-amulet; ..."
clothes/orange.json,"clothes-upperbodyover-travelers-earthrobe"
clothes/pink.json,"clothes-shoulder-peasent-kaftan; clothes-foot-fur-lined-reindeer-herder-shoes; clothes-foot-fur-lined-reindeer-herder-shoes"
clothes/plain.json,"clothes-upperbody-homespun-shirt; clothes-lowerbody-homespun-pants; clothes-upperbody-peasent-shirt; clothes-upperbody-pastoral-shirt; clothes-lowerbody-pastoral-pants; ..."
clothes/purple.json,"clothes-shoulder-longsleeve-pearl-moonrobe; clothes-shoulder-shortsleeve-pearl-moonrobe; clothes-lowerbody-minstrel-pants"
clothes/red.json,"clothes-upperbody-scarlet-ornate-linen-tunic; clothes-head-minstrel-hat; clothes-shoulder-minstrel-coat; clothes-hand-minstrel-gloves; clothes-upperbody-reindeer-herder-collared-shirt; ..."
cob.json,"cob-none"
cobblestone.json,"cobblestone-{rock}; cobblestonefan-andesite-north; cobblestonefan-basalt-north; cobblestonefan-mixed-north; cobblestonefan-bauxite-north; ..."
condenser.json,"condenser-west"
crank.json,"crank-south"
crate-labeled.json,"crate"
crate-opened.json,"crate; crate"
crate.json,"crate"
crystalsmash/amethyst.json,"amethyst; amethyst; amethyst; amethyst; amethyst; ..."
crystalsmash/milkyquartz.json,"clearquartz; clearquartz; clearquartz; clearquartz; clearquartz; ..."
crystalsmash/olivine.json,"ore-olivine; ore-olivine; ore-olivine; ore-olivine; ore-olivine; ..."
crystalsmash/rosequartz.json,"rosequartz; rosequartz; rosequartz; rosequartz; rosequartz; ..."
crystalsmash/smokyquartz.json,"smokyquartz; smokyquartz; smokyquartz; smokyquartz; smokyquartz; ..."
daub-raw.json,"daubraw-ash; daubraw-ash; daubraw-browngolden; daubraw-brown; daubraw-browngolden; ..."
debarkedlog.json,"debarkedlog-{wood}-ud"
diamondtile.json,"diamond-stone-clean; diamond-stone-dark; diamond-stone-dark; diamond-stone-light; diamond-stone-light; ..."
displaycase.json,"displaycase-generic; talldisplaycase-generic"
door-metal.json,"metaldoor-solid-iron; metaldoor-barred-iron; metaldoor-sleek-windowed-iron"
doors.json,"door-crude; door-crude; door-solid-{wood}; door-1x3gate-{wood}; door-2x2gate-{wood}; ..."
doublechest.json,"trunk-east"
dough.json,"dough-{type}; dough-{type}; dough-{type}"
drygrass.json,"drygrass"
drypackeddirt.json,"drypackeddirt"
drystone.json,"drystone-{rock}; drystone-mixed"
drystonefence.json,"drystonefence-{rock}-ew-free; drystonefence-mixed-ew-free; fencecoral-ew-free"
figurehead.json,"figurehead-bear; figurehead-gear; figurehead-siren; figurehead-skull; figurehead-wolf"
firestarter.json,"firestarter"
firewood.json,"firewood; agedfirewood; firewood; firewood; firewood; ..."
forge.json,"forge"
fruitpress.json,"fruitpress-ns"
glasspane.json,"glasspane-leaded-{wood}-ew"
glider.json,"glider"
haybale.json,"hay-normal-ud"
helvehammer.json,"helvehammer-{metal}"
henbox.json,"henbox"
hide-pelt-divide.json,"hide-pelt-bear-{species}-head"
hide-salted.json,"hide-salted-small; hide-salted-medium; hide-salted-large; hide-salted-huge; hide-salted-bear-{species}-complete; ..."
hopper.json,"hopper"
hunterbackpack.json,"hunterbackpack; hunterbackpack"
ingot.json,"ingot-copper; ingot-tinbronze; ingot-bismuthbronze; ingot-blackbronze; ingot-iron; ..."
inkandquill.json,"inkandquill"
instrument.json,"instrument-flute1"
jonas/nightvisiondevice.json,"nightvisiondevice; nightvisionupgrades-nightvisionbright; nightvisionupgrades-nightvisionlens1; nightvisionupgrades-nightvisionlens2; nightvisionupgrades-nightvisionpower"
jonas/resonator.json,"resonator-north"
jonas/returnbaserecipes.json,"basereturnteleporter; returnbase-returnbasebottom; returnbase-returnbaseend; returnbase-returnbasetop"
jonas/returndeath.json,"corpsereturnteleporter-north; returndeath-returndeath1; returndeath-returndeath2; returndeath-returndeath3"
jonas/riftward.json,"riftward"
ladder.json,"ladder-wood-north; ladder-wood-north; ladder-rope-north"
lantern.json,""
lightningrod.json,"lightningrod; metalbit-copper"
linen.json,"linen-normal-down; linen-offset-down; linen-diamond-down; linen-square-down; linen-normal-down; ..."
linensack.json,"linensack"
log-quad.json,"logquad-placed-{wood}-ud; logquad-barkedcorner-{wood}-north; logquad-barkedcorner-{wood}-north; logquad-debarked-{wood}-ud; logquad-debarkedcorner-{wood}-north; ..."
mechpowerblocks-pulverizer.json,"pulverizerframe-north; pulverizertoggle-oak; pounder-oak; pounder-oak"
mechpowerblocks.json,"windmillrotor-north; windmillrotor-north; woodenaxle-ud; woodenaxle-ud; angledgears-s; ..."
metalbit-jewelryscrap.json,"metalbit-gold; metalbit-gold; metalbit-gold; metalbit-gold; metalbit-gold; ..."
metalbit.json,"metalbit-{metal}; metalbit-{metal}; metalbit-{metal}; metalbit-{metal}; metalbit-{metal}; ..."
metalblock.json,"metalblock-new-riveted-{metal}"
metalplaque.json,"plaque-fancy-{metal}-wall-north; metalbit-{metal2}"
miningbag.json,"miningbag; miningbag; miningbagsturdy"
moldrack.json,"moldrack-normal-east"
mudbricks.json,"mudbrick-light; mudbrick-dark"
nuggets.json,"nugget-nativecopper; nugget-nativecopper; nugget-nativecopper; nugget-nativecopper; nugget-nativecopper; ..."
oiledhide.json,"hide-oiled-small; hide-oiled-small; hide-oiled-small; hide-oiled-small; hide-oiled-medium; ..."
oillamp.json,"oillamp-{color}-up"
packeddirt.json,"packeddirt"
pan.json,"pan-wooden; pan-wooden"
parchment.json,"paper-parchment; paper-parchment"
pemmican.json,"pemmican-raw-basic; pemmican-raw-salted"
pineappleslice.json,"fruit-pineapple"
plank.json,"plank-{wood}; plank-{wood}; plank-{wood}; plank-{wood}; plank-{wood}; ..."
planks.json,"planks-{wood}-ud"
plaster/diagonal.json,"plaster-diagonal-ud"
plaster/plain.json,"plaster-plain"
plaster/square.json,"plaster-square"
plaster/stripes.json,"plaster-stripes-ud"
plumbandsquare.json,"plumbandsquare"
polishedrock.json,"rockpolished-{rock}"
poultice.json,"poultice-linen-honey-sulfur; poultice-linen-horsetail; poultice-reed-horsetail; poultice-reed-honey-sulfur; poultice-reed-horsetail; ..."
prospectingpick.json,"prospectingpick-{metal}"
pumpkinseed.json,"seeds-pumpkin"
pumpkinslice.json,"vegetable-pumpkin"
quartzglass.json,"glass-quartz"
quern.json,"quern-{rock}"
raft.json,"oar-crude-{wood}; oar-crude-{wood}; boat-raft-{wood}; boat-raft-{wood}; boat-raft-bamboo"
rammedearth.json,"rammed-light-plain; rammed-light-thinlight; rammed-light-thicklight; rammed-light-thinheavy; rammed-light-thickheavy; ..."
ratlines.json,"ratlines"
rawbrick.json,"rawbrick-{type}"
rawrefractorybrick.json,"refractorybrick-raw-tier1; refractorybrick-raw-tier2; refractorybrick-raw-tier3"
refractorybrickblock.json,"refractorybricks-good-{type}"
refractorygratingblock.json,"refractorybrickgrating-good-{type}; refractorybrickgrating-good-fire"
roller.json,"roller"
roofing.json,"slantedroofing-thatch-east-free; slantedroofing-thatch-east-free; slantedroofingridge-thatch-ns-free; slantedroofingridge-thatch-ns-free; slantedroofingtip-thatch-free; ..."
rope.json,"rope; rope; rope; rope"
roughhewnfence.json,"roughhewnfence-{wood}-ew-free; roughhewnfence-{wood}-ew-free"
roughhewngate.json,"roughhewnfencegate-{wood}-n-closed-free; roughhewnfencegate-{wood}-n-closed-free"
rushmat.json,"rushmat; rushmat"
schematiccopy.json,"schematic-glider"
scrapedhide.json,"hide-scraped-{size}; hide-scraped-huge; hide-scraped-huge; hide-scraped-huge; hide-scraped-huge"
scrapweaponkit.json,"scrapweaponkit"
scrollrack.json,"scrollrack"
sealedcrock.json,"crock-{color}-fired; crock-{color}-fired"
sewingkit.json,"sewingkit"
shelf.json,"shelf-normal-east"
sieve.json,"sieve-linen"
sign.json,"sign-ground-north"
signpost.json,"signpost"
skep.json,"skep-reed-empty-east; skep-papyrus-empty-east"
slabmode/claybrick.json,"brickslabs-{type}-down-free; brickslabscourse-four-{type}-down-free; brickslabscourse-eight-{type}-down-free"
slabmode/cobble.json,"cobblestoneslab-{rock}-down-free"
slabmode/glass.json,"glassslab-{type}-down-free"
slabmode/mudbrick.json,"mudbrickslab-{type}-down-free"
slabmode/planks.json,"plankslab-{type}-down-free"
slabmode/polishedrock.json,"polishedrockslab-{type}-down-free"
slabmode/quartz.json,"quartzslab-down-free"
slabmode/shingle.json,"clayshinglelabs-{type}-down-free"
slabmode/stonebrick.json,"stonebrickslab-{type}-down-free"
slabs/claybrickslab.json,"brickslabs-fire-down-free; brickslabs-four-{type}-down-free; brickslabs-eight-{color}-down-free"
slabs/clayshingleslab.json,"clayshinglelabs-{type}-down-free"
slabs/cobbleslabs.json,"cobblestoneslab-{rock}-down-free"
slabs/glassslabs.json,"glassslab-{type}-down-free"
slabs/mudbrickslab.json,"mudbrickslab-dark-down-free"
slabs/plankslabs.json,"plankslab-{wood}-down-free"
slabs/polishedrockslab.json,"polishedrockslab-{rock}-down-free"
slabs/stonebrickslab.json,"stonebrickslab-{rock}-down-free"
slabs/stonepathslab.json,"stonepathslab-free"
snowballvariants.json,"snowball-{stone}; snowball-beenade"
soil-compost.json,"soil-high-none; soil-high-none"
solderbar.json,"solderbar-tin; solderbar-silver"
stackedbamboo.json,"stackedbamboo-ud"
stairs/claybrickstairs.json,"brickstairs-fire-up-north-free; brickstairs-four-{type}-up-north-free; brickstairs-eight-{color}-up-north-free"
stairs/clayshinglestairs.json,"clayshinglestairs-{type}-up-north-free"
stairs/cobblestairs.json,"cobblestonestairs-{rock}-up-north-free"
stairs/plankstairs.json,"plankstairs-{wood}-up-north-free"
stairs/stonebrickstairs.json,"stonebrickstairs-{rock}-up-north-free"
stairs/stonepathstairs.json,"stonepathstairs-up-north-free"
stationarybasket-deconstruct.json,"cattailtops; papyrustops"
stationarybasket.json,"stationarybasket-east; stationarybasket-east"
stickslayer.json,"stickslayer-wooden-ew-free"
stonebrick.json,"stonebrick-{rock}"
stonebricks.json,"stonebricks-{rock}"
stonecoffin.json,"stonecoffinsection-{rock}-north"
stonecoffinlid.json,"stonecoffinlid-{rock}"
stonepath.json,"stonepath-free"
strawbedding.json,"strawbedding"
strawdummy.json,"strawdummy"
table.json,"table-normal; table-whitemarble; table-redmarble; table-greenmarble"
tack.json,"hoovedwearables-face-face1; hoovedwearables-face-face5; hoovedwearables-face-face7; hoovedwearables-face-face13; hoovedwearables-middleback-saddle1; ..."
tobtranslocator.json,"tobtlocator-north"
tool/arrow.json,"arrow-{metal}; arrow-crude"
tool/axe.json,"axe-felling-{material}; axe-{material}; axe-bone-{material}"
tool/blade.json,"blade-falx-{metal}; blade-blackguard-iron; blade-falx-gold; blade-falx-silver"
tool/bow.json,"bow-simple; bow-crude; bow-long; bow-long; bow-long; ..."
tool/bowstave.json,"bowstave-long-raw; bowstave-recurve-raw; bowstave-recurve-raw"
tool/club.json,"club-generic-wood; club-generic-wood"
tool/hackingspear.json,"spear-generic-hacking"
tool/hammer.json,"hammer-{metal}"
tool/hoe.json,"hoe-{metal}"
tool/knife.json,"knife-generic-{material}; knife-generic-bonegranite; knife-generic-boneandesite; knife-generic-boneobsidian; knife-generic-boneperidotite; ..."
tool/pickaxe.json,"pickaxe-{metal}"
tool/saw.json,"saw-{metal}"
tool/scythe.json,"scythe-{metal}"
tool/shield.json,"shield-crude; shield-crude; shield-crude; shield-woodmetal; shield-woodmetalleather; ..."
tool/shovel.json,"shovel-{material}"
tool/sling.json,"sling; sling; sling"
tool/solderingiron.json,"solderingiron"
tool/spear.json,"spear-generic-{metal}"
tool/tongs.json,"tongs"
toolrack.json,"toolrack-north"
torch.json,"torch-basic-extinct-up; torch-basic-extinct-up; torch-basic-extinct-up; torch-cloth-extinct-up; torch-cloth-extinct-up"
torchholder.json,"torchholder-brass-empty-north"
trap-crate.json,"trapcrate-wood"
trapdoor.json,"trapdoor-window-{wood}-1; trapdoor-solid-{wood}-1; trapdoor-plate-iron-1; trapdoor-bars-iron-1"
trough-large.json,"trough-genericwood-large-head-north"
trough-small.json,"trough-genericwood-small-ns"
twine.json,"flaxtwine"
verticalboiler.json,"verticalboiler-west"
wattlefence.json,"wattle-sticks-ew-free; wattlegate-sticks-n-closed-left-free"
waxedcheese.json,"rawcheese-waxed"
wildvine.json,"wildvine-end-north; wildvine-tropical-end-north; wildvine-section-north; wildvine-tropical-section-north"
woodbucket.json,"woodbucket; woodbucket"
woodenfence.json,"woodenfence-{wood}-ew-free; fencebamboo-brown-ew-free"
woodenfencegate.json,"woodenfencegate-{wood}-n-closed-left-free; bamboogate-brown-n-closed-free"
woodenpath.json,"woodenpath-{wood}-ns"
